match_id,team_name,team_id,account_id,match_date,competition,season,match_week,competition_stage,home_team,away_team,np_xg,np_shots,obv_shot,xgchain,goals,Goal Envolvement Index (norm),Goal Conversion Index (norm),Possession GoalChance Index (norm),Goal Performance Index,match_score
3980915,Colo Colo,1916,7336,2025-03-10,Chile - Primera División,2025,4,Regular Season,Colo Colo,Everton,1.840253488,19.0,-0.7492429795,10.65243378,2.0,5.367228159360668,3.241657085739987,6.1276299999233625,7.520463301448281,Colo Colo(2) - Everton(0)
3980915,Everton,1919,7336,2025-03-10,Chile - Primera División,2025,4,Regular Season,Colo Colo,Everton,0.3951101725,9.0,-0.344730237,2.265884794,0.0,1.1807424880276232,0.883988287536168,1.6164154128815764,4.131895324606187,Colo Colo(2) - Everton(0)
3980917,Deportivo Ñublense SADP,5102,7336,2025-03-08,Chile - Primera División,2025,4,Regular Season,Deportivo Ñublense SADP,Universidad Católica,1.637198476,10.0,-0.633680455,9.154047089,1.0,4.530880633618358,3.6130730491462724,5.388152881729246,7.276608040575978,Deportivo Ñublense SADP(1) - Universidad Católica(1)
3980917,Universidad Católica,1924,7336,2025-03-08,Chile - Primera División,2025,4,Regular Season,Deportivo Ñublense SADP,Universidad Católica,0.395979772,7.0,0.03474768400000001,3.01342427,1.0,1.9150211677483133,3.263705381224421,2.648259157332204,5.708237477202026,Deportivo Ñublense SADP(1) - Universidad Católica(1)
3980918,Cobresal,1926,7336,2025-03-09,Chile - Primera División,2025,4,Regular Season,Coquimbo Unido,Cobresal,0.6854453487000001,16.0,-0.166628747,3.3437551597,1.0,3.845643840909047,1.9075539839677143,3.619241979094153,5.879937727238964,Coquimbo Unido(1) - Cobresal(1)
3980918,Coquimbo Unido,1914,7336,2025-03-09,Chile - Primera División,2025,4,Regular Season,Coquimbo Unido,Cobresal,2.069120359,24.0,1.0296098198,11.26291826,1.0,5.6791421720349575,2.416992049201973,7.501103914702188,7.517484059675593,Coquimbo Unido(1) - Cobresal(1)
3980919,La Serena,1920,7336,2025-03-09,Chile - Primera División,2025,4,Regular Season,O'Higgins,La Serena,1.492751152,12.0,-0.1538554377,7.987734804,1.0,3.577286139448967,3.610562612572883,4.595473039325283,6.807403816165836,O'Higgins(1) - La Serena(1)
3980919,O'Higgins,1962,7336,2025-03-09,Chile - Primera División,2025,4,Regular Season,O'Higgins,La Serena,1.113112525,23.0,-1.3269112304,5.220855158,1.0,5.203470878952789,1.4122602877564592,4.918691451186061,6.347680719382584,O'Higgins(1) - La Serena(1)
3980920,Audax Italiano,1918,7336,2025-03-09,Chile - Primera División,2025,4,Regular Season,Audax Italiano,Deportes Limache,1.081971538,19.0,-0.2575553107,5.83378658,3.0,4.912972698032233,3.482243056472916,5.484017900882552,7.355478699998939,Audax Italiano(3) - Deportes Limache(1)
3980920,Deportes Limache,30140,7336,2025-03-09,Chile - Primera División,2025,4,Regular Season,Audax Italiano,Deportes Limache,0.745520379,11.0,-0.468625866,4.616055672,1.0,3.4819848498868664,2.4328682473049126,3.0558753262362917,5.89532761210582,Audax Italiano(3) - Deportes Limache(1)
3980921,Deportes Iquique,1864,7336,2025-03-09,Chile - Primera División,2025,4,Regular Season,Deportes Iquique,Palestino,1.653839887,16.0,-0.712465264,10.64704966,1.0,6.045236294468497,3.0365384910584083,8.265529302425074,8.087493757686154,Deportes Iquique(1) - Palestino(3)
3980921,Palestino,1925,7336,2025-03-09,Chile - Primera División,2025,4,Regular Season,Deportes Iquique,Palestino,1.948588627,16.0,0.647165672,12.561242256,3.0,4.970332347222721,5.1888168267595,6.422455939440497,8.379535225364936,Deportes Iquique(1) - Palestino(3)
3980922,Huachipato,1915,7336,2025-03-08,Chile - Primera División,2025,4,Regular Season,Unión La Calera,Huachipato,0.13739799,5.0,-0.031368687,0.5930325935,0.0,1.8450339656406554,1.8358372897937245,1.2543273307447458,4.716318353945602,Unión La Calera(1) - Huachipato(0)
3980922,Unión La Calera,1954,7336,2025-03-08,Chile - Primera División,2025,4,Regular Season,Unión La Calera,Huachipato,1.971641151,20.0,0.003905711499999978,10.535903515,1.0,5.420943703369195,3.089159707796078,5.125663131654597,7.254250111420961,Unión La Calera(1) - Huachipato(0)
3980924,Coquimbo Unido,1914,7336,2025-03-16,Chile - Primera División,2025,5,Regular Season,Everton,Coquimbo Unido,1.12558859,11.0,-0.3353127929999999,6.92547228,0.0,3.4166686197079423,2.8580839081214835,7.204215267878206,6.949454103308097,Everton(0) - Coquimbo Unido(0)
3980924,Everton,1919,7336,2025-03-16,Chile - Primera División,2025,5,Regular Season,Everton,Coquimbo Unido,0.402087029,12.0,-0.29786501,2.118459786,0.0,2.7572211244484173,1.3418231026298835,1.8641709153459507,4.898758859565435,Everton(0) - Coquimbo Unido(0)
3980925,La Serena,1920,7336,2025-03-16,Chile - Primera División,2025,5,Regular Season,La Serena,Unión La Calera,0.450070776,13.0,-0.421655621,2.107752391,1.0,1.5051374852062178,2.3301858273541245,2.809112298468651,5.170470871121001,La Serena(1) - Unión La Calera(0)
3980925,Unión La Calera,1954,7336,2025-03-16,Chile - Primera División,2025,5,Regular Season,La Serena,Unión La Calera,0.381683252,10.0,-0.321518327,1.643974522,0.0,2.562655623555405,1.1882771121821838,1.1800648157060778,4.620562474410336,La Serena(1) - Unión La Calera(0)
3980927,Deportes Iquique,1864,7336,2025-03-16,Chile - Primera División,2025,5,Regular Season,Deportes Iquique,Unión Española,0.706476967,14.0,-0.4381325036,2.923497267,0.0,6.031296639344145,1.8566659598612378,3.5545095437087912,6.532411139455324,Deportes Iquique(0) - Unión Española(4)
3980927,Unión Española,1921,7336,2025-03-16,Chile - Primera División,2025,5,Regular Season,Deportes Iquique,Unión Española,1.041586996,11.0,0.859641526,6.544300415,4.0,3.8822071695680664,7.107610106236766,4.295919429197932,8.497126931070053,Deportes Iquique(0) - Unión Española(4)
3980928,Cobresal,1926,7336,2025-03-16,Chile - Primera División,2025,5,Regular Season,Cobresal,O'Higgins,0.7560324156,9.0,-0.632908566,6.30238186,0.0,3.22248642547067,0.8229998221052579,2.9130365232062996,5.020740160241923,Cobresal(0) - O'Higgins(0)
3980928,O'Higgins,1962,7336,2025-03-16,Chile - Primera División,2025,5,Regular Season,Cobresal,O'Higgins,1.058058754,21.0,-0.820335006,4.201836077,0.0,4.994358936298006,1.4103453417702763,5.621669750821975,6.42873372089518,Cobresal(0) - O'Higgins(0)
3980929,Deportivo Ñublense SADP,5102,7336,2025-03-16,Chile - Primera División,2025,5,Regular Season,Palestino,Deportivo Ñublense SADP,0.631954449,11.0,-0.504625372,2.855865157,0.0,2.981790116706857,1.6553203838618076,5.574696629726231,5.8993374038895965,Palestino(2) - Deportivo Ñublense SADP(0)
3980929,Palestino,1925,7336,2025-03-16,Chile - Primera División,2025,5,Regular Season,Palestino,Deportivo Ñublense SADP,1.439530368,16.0,0.367056279,7.600781105,2.0,5.558977995405016,3.950388627057053,3.539498103052974,7.371860948850288,Palestino(2) - Deportivo Ñublense SADP(0)
3980930,Deportes Limache,30140,7336,2025-03-15,Chile - Primera División,2025,5,Regular Season,Deportes Limache,Huachipato,1.28643923,6.0,0.74514903,4.616481157,2.0,2.019908147756732,7.307443109332461,3.9038128370932386,7.921141485205553,Deportes Limache(2) - Huachipato(3)
3980930,Huachipato,1915,7336,2025-03-15,Chile - Primera División,2025,5,Regular Season,Deportes Limache,Huachipato,1.071128836,13.0,0.1442200741,7.64399945,3.0,6.070549478738798,5.242518088184965,4.288681538053393,8.303193990437425,Deportes Limache(2) - Huachipato(3)
